classement scratch;dossard;nom prenom;club;sexe;categorie;pays;classement par categorie;classement par sexe;temps;nb de point;
1;2383;PERRIOT JEAN-MARC;SCOTT RUNNING;H;Elite;FRA;1;1;04:15:15;0;
2;2468;MÉNARD BENJAMIN;LES FOULÉES CHABLAISIENNES;H;Elite;FRA;2;2;04:29:54;0;
3;2259;WIDMER YANNICK;TRAIL BLONAY - ST-LÉGIER (TBSL);H;Elite;SUI;3;3;04:38:01;0;
4;2467;JEANNERET JO;;H;Elite;SUI;4;4;04:42:00;0;
5;2585;MAHON SÉBASTIEN;SPORT ET NEIGE;H;Elite;FRA;5;5;04:45:10;0;
6;2584;TARBILL JOSEPH;;H;Elite;USA;6;6;04:54:00;0;
7;2322;RUCHET FLORIAN;ALPI TRAINING;H;Elite;SUI;7;7;04:57:26;0;
8;2508;COLO PHILIPPE;;H;Elite;FRA;8;8;05:04:59;0;
9;2558;BLANC PIERRICK;;H;Elite;SUI;9;9;05:11:01;0;
10;2438;BESSON JEAN-LUC;VERTICAL SPORTS;H;Senior 1;SUI;1;10;05:15:13;0;
11;2174;CADUFF URSIN;;H;Senior 1;SUI;2;11;05:15:17;0;
12;2095;ENZLER SILVIO;;H;Elite;SUI;10;12;05:15:17;0;
13;2356;SIX AURELIEN;;H;Senior 1;FRA;3;13;05:15:32;0;
14;2292;EBERLE CAROL-ANN;ATHLÉTIQUE CLUB DU LYONNAIS;F;Elite;GER;1;1;05:15:42;0;
15;2409;GODWIN THOMAS;;H;Elite;FRA;11;14;05:16:47;0;
16;2573;DJELLAB NADIR;;H;Senior 1;FRA;4;15;05:18:12;0;
17;2213;SIMOES ARNAUD;PRO DU SPORT BESANCON;H;Elite;FRA;12;16;05:18:55;0;
18;2451;PARRON ALVAREZ BEATRIZ;JOMA;F;Elite;ESP;2;2;05:19:21;0;
19;2565;SOMMER CORINA;;F;Senior 2;SUI;1;3;05:22:17;0;
20;2313;FERREIRA JOSÉ;DESNIVEL POSITIVO;H;Senior 2;POR;1;17;05:22:32;0;
21;2008;WINKLEHNER ANNA;STB;F;Senior 1;SUI;1;4;05:22:34;0;
22;2133;TERLIEN CHRISTOPH;;H;Senior 1;SUI;5;18;05:26:47;0;
23;2390;CORNELI MATEO;;H;Elite;SUI;13;19;05:29:38;0;
24;2575;SANTSCHI PHILIPPE;;H;Senior 2;SUI;2;20;05:30:41;0;
25;2446;VERDONCKT THIBAULT;NCS TRAILÉMAN;H;Elite;FRA;14;21;05:31:03;0;
26;2221;RÜHL JONAS;TRAIL-MANIACS;H;Elite;GER;15;22;05:31:30;0;
27;2510;BARDET MAXIME;TAG HEUER;H;Elite;FRA;16;23;05:33:22;0;
28;2527;GREEN ANNIKA;LAZYBOYS TRACK CLUB;F;Elite;CAN;3;5;05:33:57;0;
29;2519;CLAUDÉ GUILLAUME;TRAIL & CHIFFONS;H;Elite;FRA;17;24;05:39:09;0;
30;2552;BENEDIKT SINGER;;H;Elite;AUT;18;25;05:39:09;0;
31;2309;LOMI SIMON;TRAIL-MANIACS;H;Elite;CZE;19;26;05:39:22;0;
32;2123;GUERILLON WILLIAM;;H;Elite;FRA;20;27;05:44:42;0;
33;2547;BERNER-WERB ANDREAS;MARKGRÄFLER RUNNERS CLUB;H;Senior 1;GER;6;28;05:44:58;0;
34;2436;JOST HANSUELI;;H;Senior 1;SUI;7;29;05:46:11;0;
35;2105;COUTANT CORENTIN;;H;Elite;FRA;21;30;05:47:21;0;
36;2570;SCHNEKENBURGER NIKLAS;;H;Elite;GER;22;31;05:48:00;0;
37;2553;URECH STEPHAN;TEAM ZOOT;H;Senior 1;SUI;8;32;05:49:11;0;
38;2464;DREWS BARBARA;;F;Senior 1;GER;2;6;05:49:14;0;
39;2582;HOLLARD NICOLAS;;H;Elite;FRA;23;33;05:49:25;0;
40;2404;MESKERS JUDITH;;F;Elite;NED;4;7;05:49:25;0;
41;2463;DRILLING CARSTEN;;H;Senior 2;GER;3;34;05:49:50;0;
42;2555;LEUENBERGER MARCO;NOWORRIES;H;Senior 2;SUI;4;35;05:49:57;0;
43;2246;CHANSOU LOUIS;;H;Elite;FRA;24;36;05:50:12;0;
44;2212;DE ALMEIDA JULIEN;PRO DU SPORT BESANÇON;H;Elite;FRA;25;37;05:51:14;0;
45;2237;MOULIN JORDY;TRAIL DES POÈTES;H;Elite;BEL;26;38;05:51:39;0;
46;2430;BARON HARALD;TRAIL-MANIACS;H;Senior 2;SUI;5;39;05:52:19;0;
47;2476;VAUCHER DAMIEN;TEAM PT;H;Elite;SUI;27;40;05:53:21;0;
48;2541;DAMBREVILLE AURELIEN;RUN PASSION TRAIL;H;Elite;FRA;28;41;05:53:39;0;
49;2581;GRAVRAND OLIVIER;LAZYBOYS TRACK CLUB;H;Elite;SUI;29;42;05:53:42;0;
50;2279;CACHEMAILLE CHRISTIAN;US YVERDON / VERTICAL SPORT;H;Elite;SUI;30;43;05:54:10;0;
51;2447;MARXER REMY;;H;Elite;FRA;31;44;05:54:18;0;
52;2394;CLAPES ROIG JOAN;;H;Elite;ESP;32;45;05:54:36;0;
53;2136;MOCHEL PERCEVAL;;H;Elite;FRA;33;46;05:54:44;0;
54;2495;GENET MATHIEU;;H;Senior 1;FRA;9;47;05:56:55;0;
55;2114;ZAMFIR ALEXANDRU;;H;Senior 1;GER;10;48;05:57:03;0;
56;2518;BULLIARD OLIVIER;;H;Elite;FRA;34;49;05:57:26;0;
57;2579;GIRARD VALENTIN;;H;Elite;SUI;35;50;05:57:31;0;
58;2347;VERMEULEN AMBROSIUS;;H;Elite;NED;36;51;05:57:40;0;
59;2165;SCHOPFER KÉVIN;;H;Elite;SUI;37;52;05:58:26;0;
60;2171;ZHIOUA SAMI;;H;Elite;SUI;38;53;05:58:39;0;
61;2478;NICOLAS YOAN;TEAM PT;H;Elite;SUI;39;54;05:58:43;0;
62;2139;SANDOZ GRÉGORY;;H;Elite;SUI;40;55;05:59:06;0;
63;2103;RODRIGUES FERNANDO;STRESS TEAM;H;Senior 1;POR;11;56;05:59:57;0;
64;2551;BICKEL JÜRG;;H;Senior 1;SUI;12;57;06:00:19;0;
65;2218;HUGUENIN KEVIN;;H;Elite;SUI;41;58;06:01:01;0;
66;2504;LAUCHER VALENTIN;IGOR & SERGEI POPOV TRAIL TEAM;H;Elite;FRA;42;59;06:01:46;0;
67;2399;TUGLER AURÉLIEN;;H;Elite;SUI;43;60;06:02:07;0;
68;2460;STEPANOV ALEKSEI;DUSTY DUMBBELLS;H;Elite;RUS;44;61;06:02:25;0;
69;2367;RIS MAJA;;F;Senior 1;SUI;3;8;06:03:04;0;
70;2437;KOCHER STECY;;H;Senior 2;SUI;6;62;06:03:50;0;
71;2601;WERNLI DANIEL;FYROBEZÖBELER;H;Elite;SUI;45;63;06:05:27;0;
72;2472;ZUCCHINETTI FRANCESCO;T-R-T;H;Elite;SUI;46;64;06:05:56;0;
73;2033;CORMINBOEUF MATILA;;H;Elite;SUI;47;65;06:06:18;0;
74;2346;RIESEN LUKAS;;H;Senior 1;SUI;13;66;06:06:46;0;
75;2419;BAILLEUX MATHILDE;RUN PASSION TRAIL;F;Elite;BEL;5;9;06:07:15;0;
76;2009;BELLOY JOFFREY;;H;Senior 1;FRA;14;67;06:07:16;0;
77;2422;BOUSCAREN NICOLAS;RUN PASSION TRAIL;H;Elite;FRA;48;68;06:07:17;0;
78;2420;LÉONARD SYLVAIN;RUN PASSION TRAIL;H;Elite;BEL;49;69;06:07:27;0;
79;2421;GALLEGO LOBATO DAVID;;H;Senior 1;ESP;15;70;06:07:46;0;
80;2366;URECH MATHIEU;;H;Elite;SUI;50;71;06:07:54;0;
81;2408;ALLIX HUGUES;;H;Senior 1;FRA;16;72;06:08:12;0;
82;2373;LIGEN YORICK;LA CÔTE RUNNERS;H;Elite;FRA;51;73;06:08:20;0;
83;2361;ZUMSTEG DANIEL;LAUFGRUPPE SOLOTHURN;H;Senior 1;SUI;17;74;06:08:28;0;
84;2580;OLIVEIRA MANUEL;STERCHI;H;Senior 2;POR;7;75;06:09:26;0;
85;2538;PITTET STÉPHANE;ALBATROS;H;Senior 2;SUI;8;76;06:09:38;0;
86;2227;MONDALE FREDDY;ALL MY DOGS EAT;H;Elite;USA;52;77;06:10:10;0;
87;2540;SCHMID JOHANN;SKI CLUB LA BRÉVINE;H;Senior 1;SUI;18;78;06:10:22;0;
88;2374;VENTRE RAPHAËL;;H;Elite;FRA;53;79;06:10:26;0;
89;2567;KLAUSER ELIAS;;H;Elite;SUI;54;80;06:10:53;0;
90;2599;NADLER KURT;;H;Senior 2;SUI;9;81;06:11:03;0;
91;2205;VAN HULLE FRANCOIS;RAIDINGTEAM;H;Elite;BEL;55;82;06:11:24;0;
92;2288;REYMOND VIRGINIE;VERTICAL SPORTS;F;Elite;SUI;6;10;06:11:31;0;
93;2505;BRAMMAR STEVE;ANTA HONG KONG 100;H;Senior 2;GBR;10;83;06:12:24;0;
94;2539;TLILI ISSAM;WORLD SPORT ENERGY;H;Elite;FRA;56;84;06:12:29;0;
95;2315;GANDER MANUEL;DSISCHTIJOGGER;H;Senior 2;SUI;11;85;06:13:49;0;
96;2247;HERTKORN JULIAN;;H;Elite;GER;57;86;06:14:01;0;
97;2384;VAN USSEL KEVIN;;H;Elite;BEL;58;87;06:14:16;0;
98;2252;BUETLER STEFAN;TRAIL-MANIACS;H;Senior 1;SUI;19;88;06:14:18;0;
99;2426;FROIDEVAUX GAËL;ATMA-COACHING;H;Senior 1;SUI;20;89;06:14:45;0;
100;2560;ROIBAL JOSÖ;;H;Senior 2;ESP;12;90;06:14:49;0;
101;2576;ROHRER PIERRE-ALAIN;MARTI SPORT;H;Veteran;SUI;1;91;06:15:03;0;
102;2215;RYAN LLOYD;;H;Elite;GBR;59;92;06:15:49;0;
103;2305;AGASSIS NICOLAS;VERTICAL SPORTS;H;Senior 1;SUI;21;93;06:16:04;0;
104;2400;MARTINI MICKAEL;;H;Elite;FRA;60;94;06:16:05;0;
105;2596;INNOKENTY SMORCHKOV;RUNNING CHICKENS;H;-;SUI;1;95;06:16:11;0;
106;2153;BADERTSCHER RAPHAËL;;H;Senior 1;SUI;22;96;06:16:13;0;
107;2317;EIGENMANN STÉPHAN;;H;Elite;SUI;61;97;06:16:14;0;
108;2370;QUACH GAËL;;H;Elite;SUI;62;98;06:16:19;0;
109;2376;PASCHE SÉBASTIEN;RTS;H;Elite;SUI;63;99;06:16:35;0;
