classement scratch;dossard;nom prenom;club;sexe;categorie;pays;classement par categorie;classement par sexe;temps;nb de point;
136;1247;DETEVE MARC-ANTOINE;;H;Senior 1;FRA;38;119;13:31:01;0;
137;1257;BIEDERMANN HEINZ;;H;Senior 2;SUI;25;120;13:32:35;0;
138;1198;LAMARE QUENTIN;NCS TRAILÉMAN;H;Senior 1;FRA;39;121;13:33:08;0;
139;1051;LANNES TRISTAN;;H;Elite;FRA;55;122;13:33:42;0;
140;1143;PIRSON ERIC;;H;Senior 2;FRA;26;123;13:34:42;0;
141;1266;UDRY MATTHIAS;LAT SENSE;H;Elite;SUI;56;124;13:37:22;0;
142;1013;HOUEE DANIEL;VERNEUIL AC;H;Senior 2;FRA;27;125;13:37:41;0;
143;1186;DE BOCK THIBAULT;;H;Senior 1;FRA;40;126;13:37:42;0;
144;1310;BACH FRANCINE;CARC ROMONT;F;Veteran;SUI;1;18;13:38:23;0;
145;1063;CUVELIER GEOFFREY;;H;Senior 1;FRA;41;127;13:38:41;0;
146;1065;LAHOUSSE FREDERIC;;H;Senior 2;FRA;28;128;13:38:41;0;
147;1062;FOULON JÉRÉMY;;H;Senior 1;FRA;42;129;13:38:42;0;
148;1268;DUBOIS LAURENT;LA ROCHETTE TEAM;H;Senior 2;FRA;29;130;13:39:25;0;
149;1130;BARBERO BRUNE-LISE;;F;Elite;FRA;12;19;13:40:29;0;
150;1133;GIRARD STÉPHANE;CLUB DE TRAIL DE MONTRÉAL;H;Senior 2;CAN;30;131;13:41:12;0;
151;1058;BACHMANN PHILIP;;H;Senior 1;SUI;43;132;13:41:24;0;
152;1090;LESIMPLE CLÉMENT;;H;Elite;FRA;57;133;13:43:57;0;
153;1210;HAEMMERLI VINCENT;;H;Senior 2;SUI;31;134;13:48:30;0;
154;1105;ELVIN JARED;MIKKELLER RUNNING;H;Elite;RSA;58;135;13:52:56;0;
155;1107;HEYDENRYCH JAMES;;H;Elite;RSA;59;136;13:52:59;0;
156;1110;DAVEY CHRIS;;H;Elite;RSA;60;137;13:52:59;0;
157;1100;FABRE LOIC;WHERE IS MY TRAIL;H;Senior 1;FRA;44;138;13:57:16;0;
158;1102;JOANIN AURÉLIEN;WHERE IS MY TRAIL;H;Senior 1;FRA;45;139;13:57:16;0;
159;1118;GERLINGER MICHAEL;FAMILIENHERBERGE LEBENSWEG;H;Senior 1;GER;46;140;13:58:02;0;
160;1119;DEBUSMANN KATHRIN;FAMILIENHERBERGE LEBENSWEG;F;Senior 1;GER;3;20;13:58:02;0;
161;1166;RICHARD LAURENT;;H;Senior 2;FRA;32;141;14:01:12;0;
162;1074;JOEL CONTASSOT;;H;Senior 2;FRA;33;142;14:01:20;0;
163;1045;CARRERE SYLVAIN;;H;Elite;FRA;61;143;14:02:02;0;
164;1303;MOTTE MATHIEU;ARGONNE SPORT  DISCOVERY;H;Elite;FRA;62;144;14:02:20;0;
165;1089;MENARD FANNY;;F;Elite;FRA;13;21;14:02:35;0;
166;1136;DE SOUSA JOSÉ LUIS;;H;Senior 1;POR;47;145;14:09:00;0;
167;1046;LE VERN NICOLAS;COURIR A SAUSSET;H;Senior 1;FRA;48;146;14:09:39;0;
168;1223;CHATTING KIM;;F;Senior 2;SUI;3;22;14:10:07;0;
169;1047;BERCLAZ FLORENT;LES PETITS BONHOMMES EN MOUSSE;H;Elite;SUI;63;147;14:10:23;0;
170;1174;THÉRAULAZ HARRY;FLEW AWAY;H;Elite;SUI;64;148;14:15:05;0;
171;1134;HERREN YVAN;HABS;H;Senior 1;SUI;49;149;14:21:45;0;
172;1128;DINGREVILLE MICKAEL;;H;Senior 1;FRA;50;150;14:22:49;0;
173;1228;QUEVAL MARC;AVOC;H;Veteran;FRA;4;151;14:29:57;0;
174;1041;BLANCHARD AUDREY;;F;Senior 1;FRA;4;23;14:30:15;0;
175;1276;FAURE LAURENCE;TEAMLOLAIN;F;Senior 2;FRA;4;24;14:30:20;0;
176;1141;LEHMANN CHRISTOPHE;ALTKIRCH - FRANCE;H;Senior 2;FRA;34;152;14:30:23;0;
177;1199;KOULARMANIS YANNIS;;H;Elite;SUI;65;153;14:32:22;0;
178;1272;JORDAN PAUL;;H;Senior 2;IRL;35;154;14:35:07;0;
179;1069;KALTENRIEDER GILLES;;H;Senior 1;SUI;51;155;14:37:37;0;
180;1162;DERUELLE LOÏC;;H;Senior 1;SUI;52;156;14:37:38;0;
181;1196;VOUILLOZ ELISE;;F;Elite;SUI;14;25;14:46:44;0;
182;1164;KENT IAN;;H;Senior 1;CAN;53;157;14:53:40;0;
183;1064;AEBISCHER OLIVIER;;H;Senior 1;SUI;54;158;14:55:03;0;
184;1147;POCHON MAXIME;;H;Elite;SUI;66;159;14:55:20;0;
185;1146;FABIEN OLLIVIER;;H;Senior 1;SUI;55;160;14:55:21;0;
186;1302;VIEIRA MANUEL;;H;Senior 1;FRA;56;161;14:55:23;0;
187;1224;WALLERAND JÉRÔME;;H;Senior 1;FRA;57;162;14:57:48;0;
188;1176;JOURDAN CATHERINE;;F;Senior 1;FRA;5;26;15:02:29;0;
189;1184;GREFFIER MARIE HELENE;TAG HEUER;F;Senior 1;FRA;6;27;15:05:07;0;
190;1156;BUCHSER THOMAS;DSISCHTIG JOGGER;H;Senior 2;SUI;36;163;15:06:09;0;
191;1155;BUCHSER DANIELA;DSISCHTIJOGGER;F;Senior 2;SUI;5;28;15:06:11;0;
192;1059;SIFFERT DAVID;;H;Senior 2;SUI;37;164;15:06:41;0;
193;1213;PANCHAUD PASCAL;LA FOULÉE SAILLONINTZE - TEAM LA TRACE;H;Veteran;SUI;5;165;15:13:19;0;
194;1205;CONDETTE FREDDY;EECKE;H;Senior 2;FRA;38;166;15:14:48;0;
195;1080;GUTZWILLER MONIKA;;F;Senior 2;SUI;6;29;15:21:15;0;
196;1300;FROESCHER CHRISTOPHER;;H;Senior 1;SUI;58;167;15:26:59;0;
197;1305;LESCUREUX GABIN;;H;Elite;FRA;67;168;15:31:45;0;
198;1301;SZABO NORBERT;;H;Senior 2;SUI;39;169;15:32:44;0;
199;1052;JEANNERET OPHÉLIA;;F;Senior 1;SUI;7;30;15:33:05;0;
200;1211;BIOLCHINI ANNE-LAURE;;F;Elite;FRA;15;31;15:41:56;0;
201;1324;EICHKORN BERTHOLD;;H;Veteran;SUI;6;170;15:42:46;0;
202;1304;HANAU PERRINE;;F;Elite;FRA;16;32;15:43:00;0;
203;1129;HOUAL PHILIPPE;;H;Senior 2;FRA;40;171;15:49:39;0;
204;1126;GONÇALVES RODRIGUES PETRA CARINA;CROSS CLUB LES FÉES;F;Senior 1;POR;8;33;15:55:07;0;
205;1104;WARPELIN HERVÉ;1066NCS;H;Senior 2;SUI;41;172;16:01:38;0;
206;1103;CASTELLI SERENA;MONTS POTENTIEL;F;Elite;ITA;17;34;16:05:07;0;
207;1150;CEBRON DE LISLE ARMINDA;;F;Senior 1;MOZ;9;35;16:14:30;0;
208;1121;MANTA THIERRY;;H;Senior 2;SUI;42;173;16:16:46;0;
209;1120;EGLI CATHERINE;;F;Senior 2;SUI;7;36;16:16:51;0;
210;1072;GROSSRIEDER FABRICE;TRAILER DU ZIBIA;H;Elite;SUI;68;174;16:18:56;0;
211;1073;PAPAUX MICHAEL;TRAILER DU DZIBIA;H;Senior 1;SUI;59;175;16:19:00;0;
212;1281;FLÜHMANN LUDOVIC;;H;Elite;SUI;69;176;16:21:51;0;
213;1233;TESTAZ JEAN-YVES;;H;Senior 2;SUI;43;177;16:25:08;0;
214;1255;LEBREC YANNICK;;H;Senior 2;FRA;44;178;16:31:11;0;
215;1066;STRAHM JEAN-MARC;SQUADRA SENZA PAROLE;H;Senior 1;SUI;60;179;16:31:51;0;
216;1170;AEBISCHER THOMAS;TEAM COUSIMBERT;H;Senior 1;SUI;61;180;16:44:50;0;
217;1160;LOPEZ ANNE-MARIE;;F;Senior 2;FRA;8;37;16:48:48;0;
218;1151;DALLEAU WILLIAM;MRC;H;Senior 1;FRA;62;181;16:48:50;0;
219;1189;BOUVARD AMANDINE;;F;Senior 1;FRA;10;38;17:04:19;0;
220;1075;CHRISTEN LOÏC;INTENSITYWORKOUT.CH;H;Senior 1;SUI;63;182;17:17:04;0;
221;1061;FROMONT ARNAUD;;H;Senior 1;FRA;64;183;18:36:12;0;
222;1127;CHARLEVILLE CYRIL;;H;Elite;FRA;70;184;19:32:37;0;
223;1241;PARVINE CYRUS;;H;Veteran;SUI;7;185;20:57:24;0;
