classement scratch;dossard;nom prenom;club;sexe;categorie;pays;classement par categorie;classement par sexe;temps;nb de point;
1;1001;CUCCO FRANCESCO;ALTRA/CRAZY;H;Elite;ITA;1;1;08:28:21;0;
2;1003;KIPFER TRISTAN;PINGOUINS DES MÉTAIRIES -- TEAM ODERBORN;H;Elite;SUI;2;2;08:35:37;0;
3;1005;WILLIAMS DANIEL;;H;Elite;AUS;3;3;08:45:09;0;
4;1216;FATTON GRÉGOIRE;LA ZIZANIE;H;Elite;SUI;4;4;08:54:09;0;
5;1011;FREY DOMINIQUE;;H;Senior 2;SUI;1;5;09:01:23;0;
6;1004;CAMPANO MANON;TEAM MERRELL;F;Elite;FRA;1;1;09:13:44;0;
7;1221;DE PRÉVILLE SYLVAIN;UTBM;H;Elite;FRA;5;6;09:19:43;0;
8;1325;NEUTS VINCENT;;H;Elite;BEL;6;7;09:31:15;0;
9;1024;HUGUENIN GREGORY;SC LA BRÉVINE;H;Elite;SUI;7;8;09:34:23;0;
10;1027;COLARD ANTONIN;COBRA GARDEN;H;Elite;BEL;8;9;09:38:21;0;
11;1025;DOSSETTO MAXENCE;;H;Elite;FRA;9;10;09:39:05;0;
12;1085;SCHOPFER ERIC;SKI CLUB LA BRÉVINE;H;Senior 1;SUI;1;11;09:41:59;0;
13;1008;MOSER ADRIANA;ALTRA RUNNING;F;Elite;NED;2;2;09:44:59;0;
14;1308;LE MOA ERWAN;;H;Elite;FRA;10;12;09:49:52;0;
15;1082;FALCONNIER ANTOINE;;H;Senior 1;SUI;2;13;09:50:53;0;
16;1292;OPPLIGER JOËL;;H;Elite;SUI;11;14;09:59:52;0;
17;1259;SCHEUBER JONATHAN;STADE BORDELAIS ATHLÉTISME;H;Elite;FRA;12;15;10:04:58;0;
18;1190;GALLIAGUET FRANCOIS;;H;Elite;FRA;13;16;10:04:59;0;
19;1022;WAGNER JONATHAN;;H;Elite;SUI;14;17;10:06:39;0;
20;1033;BURRI HANS;;H;Senior 1;SUI;3;18;10:07:24;0;
21;1295;VANEY FLORIAN;;H;Elite;SUI;15;19;10:07:38;0;
22;1029;WALTER MARC;BAUMLÄUFER GMBH;H;Senior 1;SUI;4;20;10:08:39;0;
23;1006;ROIG FORTIN ESTEL;;F;Elite;ESP;3;3;10:14:03;0;
24;1035;KRUGER STUART;;H;Elite;RSA;16;21;10:14:34;0;
25;1271;ZYSSET MICHEL;TEAM-67;H;Elite;SUI;17;22;10:15:41;0;
26;1169;IONITA ALEXANDRU;;H;Elite;ROU;18;23;10:17:49;0;
27;1293;DIJOUX XAVIER;;H;Elite;FRA;19;24;10:18:40;0;
28;1250;MOULLAN FAROUCK;RUN PASSION TRAIL;H;Senior 1;FRA;5;25;10:18:40;0;
29;1234;SANDOZ XAVIER;LA ZIZANIE;H;Elite;SUI;20;26;10:18:54;0;
30;1094;PAMPHILE YOAN;TRI TEAM LUTRY;H;Elite;FRA;21;27;10:23:04;0;
31;1319;MEIER ERIC;SOUS-OPTIMALITÉ;H;Elite;SUI;22;28;10:23:16;0;
32;1002;CANEPA FRANCESCA;CALVESI;F;Senior 2;ITA;1;4;10:25:04;0;
33;1039;DUBOIS YANN;B3 BULLE TRIATHLON;H;Elite;SUI;23;29;10:28:46;0;
34;1028;JEQUIER ROGER;;H;Senior 2;SUI;2;30;10:29:02;0;
35;1017;JULERY MAXIME;;H;Elite;FRA;24;31;10:32:02;0;
36;1086;NOËL DAN;COMPRESSSPORT SWITZERLAND;H;Senior 1;SUI;6;32;10:35:45;0;
37;1021;HUGUENIN FABIAN;PHYSIO LOGIC LE LOCLE;H;Elite;SUI;25;33;10:40:35;0;
38;1283;KULAGINA JULIA;;F;Elite;RUS;4;5;10:44:45;0;
39;1265;MOREAU ALEXANDRE;TRI TEAM LUTRY;H;Elite;SUI;26;34;10:45:58;0;
40;1042;PACZKA SEBASTIEN;;H;Senior 1;FRA;7;35;10:47:54;0;
41;1009;CLAVERIE ROLAND;TEAM POULET GRILLÉ;H;Senior 1;FRA;8;36;10:47:56;0;
42;1218;BOER CHRISTIAN;;H;Senior 1;NED;9;37;10:55:54;0;
43;1285;AEBERLI FABIEN;;H;Senior 2;SUI;3;38;10:57:09;0;
44;1264;THOMAS CHRISTOPHER;RUN PASSION TRAIL;H;Elite;FRA;27;39;11:01:56;0;
45;1313;FESER HOLGER;;H;Senior 1;GER;10;40;11:02:37;0;
46;1167;PACHE JEAN-CLAUDE;TEAM CASTELLA SPORT;H;Senior 2;SUI;4;41;11:05:08;0;
47;1012;DA SILVA MARINE;;F;Elite;FRA;5;6;11:05:53;0;
48;1322;RIVA FRANCESCO;;H;Senior 1;SUI;11;42;11:09:47;0;
49;1230;SIEGENTHALER SIMON;;H;Elite;SUI;28;43;11:14:19;0;
50;1161;MISEREZ LOUIS;FRANÇOIS-SPORTS;H;Elite;SUI;29;44;11:15:23;0;
51;1197;MARTI ANDI;LAUFGRUPPE WETTERFEST;H;Senior 2;SUI;5;45;11:18:44;0;
52;1201;LABROT PHILIPPE;;H;Senior 1;FRA;12;46;11:19:50;0;
53;1016;HUGUENIN TIPHAINE;CROSS CLUB LES FÉES;F;Elite;SUI;6;7;11:21:02;0;
54;1246;COSTA CHARLES;;H;Senior 1;GBR;13;47;11:23:06;0;
55;1270;FALCY TRISTAN;TAG HEUER;H;Elite;FRA;30;48;11:25:12;0;
56;1099;RITSCHARD HEINZ SVEN;VEGAN TRAILRUNNER;H;Senior 2;SUI;6;49;11:26:17;0;
57;1294;LAMBELET CÉDRIC;;H;Senior 2;SUI;7;50;11:31:07;0;
58;1030;MAZINGUE ADRIEN;JOGINREIMS;H;Elite;FRA;31;51;11:31:44;0;
59;1053;ROPRAZ SAMUEL;LAT SENSE;H;Elite;SUI;32;52;11:33:29;0;
60;1137;LAILLET EMMANUEL;;H;Senior 2;FRA;8;53;11:39:45;0;
61;1277;AVIOLAT ROMAIN;;H;Senior 1;SUI;14;54;11:40:18;0;
62;1279;GAVILLET PHILIPPE;;H;Senior 2;SUI;9;55;11:42:10;0;
63;1298;DUPORT PASCAL;CICR;H;Senior 2;SUI;10;56;11:44:13;0;
64;1243;ISELI SASCHA;;H;Senior 2;SUI;11;57;11:44:41;0;
65;1191;PARATTE ALAIN;;H;Senior 1;SUI;15;58;11:45:39;0;
66;1010;YUNG ALICE;DIVONNE RUNNING;F;Elite;HKG;7;8;11:48:01;0;
67;1054;HAINARD STÉPHANIE;CS-OSTEO;F;Elite;SUI;8;9;11:48:42;0;
68;1036;BAZIN YANN;;H;Senior 1;FRA;16;59;11:49:49;0;
69;1077;HÜBSCHER ROGER;TRAIL-MANIACS;H;Senior 1;SUI;17;60;11:50:35;0;
70;1101;KENT STEPHEN;;H;Senior 1;CAN;18;61;11:50:41;0;
71;1203;STOLL GRÉGOIRE;TRI TEAM LUTRY;H;Senior 1;SUI;19;62;11:51:26;0;
72;1087;VALZER PIERRE;SR VILLARS SOUS DAMPJOUX;H;Elite;FRA;33;63;11:52:55;0;
73;1023;AGBLOE JOHN;SOULRUNNERS KLUB;H;Elite;SUI;34;64;11:53:25;0;
74;1220;REICHEN YANNICK;;H;Senior 1;SUI;20;65;11:54:38;0;
75;1132;KUENTZ GREGORY;CLUB DE TRAIL DE MONTRÉAL;H;Senior 1;CAN;21;66;11:58:52;0;
76;1236;GENTIL DAVID;;H;Elite;SUI;35;67;12:00:07;0;
77;1031;GUENICHOT KILLIAN;;H;Elite;FRA;36;68;12:00:37;0;
78;1026;RAGUES MICHAEL;;H;Elite;FRA;37;69;12:00:39;0;
79;1207;DAUVILAIRE NICOLAS;TRAILEURS EN COTENTIN;H;Senior 1;FRA;22;70;12:06:58;0;
80;1081;GAILIUNAS DARIUS;;H;Senior 1;LTU;23;71;12:08:32;0;
81;1115;HAUCK MANFRED;;H;Veteran;GER;1;72;12:10:23;0;
82;1057;MORIER JANRY;LA BARLATAY;H;Senior 1;SUI;24;73;12:10:39;0;
83;1040;TAURO ANTONIO;LSV BASEL;H;Elite;SUI;38;74;12:10:47;0;
84;1097;GEIGER OLIVIER;;H;Senior 1;SUI;25;75;12:10:48;0;
85;1323;DÄTWYLER SASCHA;TRAIL TEAM FREIAMT;H;Senior 2;SUI;12;76;12:10:56;0;
86;1225;NEYROUD ANGÉLIQUE;RTS;F;Senior 1;SUI;1;10;12:13:10;0;
87;1254;MONGIN MAXENCE;FOULÉE CHATILLONAISE;H;Senior 1;FRA;26;77;12:14:51;0;
88;1274;CHEN SHANG;;H;Senior 2;FRA;13;78;12:17:41;0;
89;1114;HUGUENIN-BERGENAT BORIS;MARTI SPORTS;H;Senior 2;SUI;14;79;12:22:13;0;
90;1014;AUDERA MARIA;;F;Elite;ESP;9;11;12:22:38;0;
91;1249;BRASSELET VALENTIN;COBRA GARDEN;H;Elite;BEL;39;80;12:22:48;0;
92;1175;GERBER MARTIN;100 MARATHON CLUB SCHWEIZ;H;Elite;SUI;40;81;12:23:07;0;
93;1091;MOREL CHRISTIAN;CORNALIN RACING TEAM;H;Senior 2;SUI;15;82;12:23:19;0;
94;1084;HAENER MARCEL;;H;Senior 2;SUI;16;83;12:29:22;0;
95;1256;BÜHLER VALÉRIE;;F;Senior 2;SUI;2;12;12:29:24;0;
96;1222;ASSEMAT MAXIME;;H;Elite;FRA;41;84;12:31:26;0;
97;1262;JOLY EMMANUEL;;H;Senior 1;FRA;27;85;12:31:34;0;
98;1138;LEDERMANN JONATHAN;;H;Elite;SUI;42;86;12:37:52;0;
99;1219;QUINTART PHILIPPE;CAP EXPE ASBL;H;Elite;BEL;43;87;12:38:37;0;
100;1320;QUINTART ALEXANDRE;;H;Elite;BEL;44;88;12:38:38;0;
101;1237;BARBEZAT ROLAND;;H;Senior 2;SUI;17;89;12:42:45;0;
102;1260;NASEL YANN;;H;Senior 1;SUI;28;90;12:42:47;0;
103;1177;SIMOES DAVID;;H;Senior 1;SUI;29;91;12:43:11;0;
104;1163;GNONI DAVIDE;;H;Senior 1;SUI;30;92;12:43:11;0;
105;1165;MILAGAIA HUGO;;H;Senior 1;POR;31;93;12:43:11;0;
106;1171;CLÉMENT FABRICE;;H;Senior 2;SUI;18;94;12:44:04;0;
107;1206;OGUEY PASCAL;BINCH TRAIL;H;Senior 1;SUI;32;95;12:45:26;0;
108;1261;MOSLER ANTHONY;;H;Elite;FRA;45;96;12:47:17;0;
109;1244;KÜNDIG DANIEL;;H;Senior 1;SUI;33;97;12:47:18;0;
110;1187;LORTHIOIR REMI;;H;Senior 1;FRA;34;98;12:48:10;0;
111;1154;SCHULLA JÖRG;;H;Senior 2;SUI;19;99;12:48:21;0;
112;1152;DETANTE LAURENT;ARGONNE SPORT DISCOVERY;H;Elite;FRA;46;100;12:52:38;0;
113;1291;TOOLE ROBBY;;H;Elite;USA;47;101;12:53:06;0;
114;1297;NAPPEY MADELINE;DOUBS SUD ATHLETISME - ASM ISLE SUR LE DOUBS;F;Elite;FRA;10;13;12:54:18;0;
115;1168;QUENTIN JEAN MARIE;TRAILEURS EN COTENTIN;H;Senior 2;FRA;20;102;12:55:38;0;
116;1018;SOUPIZET MONTAINE;;F;Junior;FRA;1;14;12:56:50;0;
117;1263;MOTTET FRANÇOIS;;H;Senior 1;FRA;35;103;12:57:02;0;
118;1193;SISTERMANNS ELMAR;LG MÖRFELDEN-WALLDORF;H;Senior 2;GER;21;104;13:03:19;0;
119;1253;POLY BAPTISTE;COUREURS D'ANROZ;H;Elite;FRA;48;105;13:04:46;0;
120;1267;GILLET YVES;ZATOLEFFE;H;Veteran;BEL;2;106;13:05:13;0;
121;1157;BERTRAND BORIS;TRAILEURS EN COTENTIN;H;Senior 2;FRA;22;107;13:07:47;0;
122;1326;MARIANO IVAN;;H;Senior 1;SUI;36;108;13:09:31;0;
123;1315;WAKENHUT FLORIAN;;H;Senior 2;FRA;23;109;13:09:58;0;
124;1195;LEROY ÉTIENNE;;H;Elite;FRA;49;110;13:09:58;0;
125;1194;DECUYPER MEDDY;;H;Elite;FRA;50;111;13:09:59;0;
126;1112;LEHMANN VALENTIN;;H;Elite;SUI;51;112;13:10:08;0;
127;1318;BOUQUET NICOLAS;;H;Elite;SUI;52;113;13:10:46;0;
128;1278;BENOIT ROLAND;RC3L;H;Senior 2;SUI;24;114;13:10:55;0;
129;1079;LECOMTE CAROLE;;F;Senior 1;SUI;2;15;13:11:32;0;
130;1288;RISSE MARILYN;;F;Elite;SUI;11;16;13:14:00;0;
131;1306;MARADAN XAVIER;;H;Elite;SUI;53;115;13:17:12;0;
132;1050;LOVIS BERNARD;;H;Veteran;SUI;3;116;13:17:52;0;
133;1172;DALLMANN JULIEN;OLICOACHING;H;Senior 1;FRA;37;117;13:24:41;0;
134;1214;ZILLA INÈS;;F;Junior;SUI;2;17;13:27:16;0;
135;1289;ZARPELLON NICOLAS;;H;Elite;SUI;54;118;13:28:57;0;
