classement scratch;dossard;nom prenom;club;sexe;categorie;pays;classement par categorie;classement par sexe;temps;nb de point;
533;3524;MELLA CHRISTIAN;RC3L;H;Veteran;SUI;13;369;05:20:42;0;
534;3688;VILLARS PASCALE;;F;Senior 1;SUI;45;165;05:20:42;0;
535;3599;CATTIN HUBERT;RC3L;H;Veteran;SUI;14;370;05:21:57;0;
536;3317;PIERREL EVA;;F;Elite;FRA;102;166;05:22:03;0;
537;3550;FENG HUITING;RUNNING PANDA;F;Elite;CHN;103;167;05:23:29;0;
538;3289;HAUSSER ZILLA DANIÈLE;;F;Senior 1;SUI;46;168;05:23:43;0;
539;3287;RACINE CÉLINE;CROSS CLUB DES FÉES;F;Senior 1;SUI;47;169;05:24:05;0;
540;3335;BIERI SORAYA;;F;Elite;SUI;104;170;05:24:50;0;
541;3336;SAHLI FLORENT;;H;Elite;SUI;198;371;05:24:51;0;
542;3145;KERN KARINE;;F;Senior 2;SUI;19;171;05:25:42;0;
543;3511;GENTIL THOMAS;TAG HEUER;H;Elite;FRA;199;372;05:27:43;0;
544;3052;LICHAU LEA;;F;Elite;FRA;105;172;05:28:22;0;
545;3092;HUGUENIN CATHY;CROSS CLUB LES FÉES;F;Veteran;SUI;1;173;05:29:19;0;
546;3088;AOKI IZUMI;;F;Senior 2;JPN;20;174;05:29:39;0;
547;3312;SIGAUD ROMAIN;;H;Elite;FRA;200;373;05:30:24;0;
548;3313;JULIE HINDENOCH;;F;Elite;FRA;106;175;05:30:25;0;
549;3271;ALBORGHETTI JENNIFER;ASPTT VERDUN;F;Senior 1;FRA;48;176;05:30:50;0;
550;3082;MARCO SCHLUP;;H;Senior 1;SUI;92;374;05:30:51;0;
551;3668;HOFFMEYER PATRICK;;H;Elite;SUI;201;375;05:32:20;0;
552;3463;MOTTAZ STEEVE;TEAM DADA;H;Elite;SUI;202;376;05:32:51;0;
553;3462;SCHRAG MANON;;F;Elite;SUI;107;177;05:32:53;0;
554;3419;TAKAYANAGI TOMOKO;TEAM YAMAYAGI;F;Veteran;JPN;2;178;05:34:33;0;
555;3451;DESTRAZ CÉDRIC;;H;Elite;SUI;203;377;05:35:15;0;
556;3432;BOUDIN VÉRONIQUE;ROLLOMATIC;F;Senior 1;SUI;49;179;05:35:30;0;
